                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.522,                 1.5397,                 1.7902,                0.77335,                  0.737,                0.79712,                0.44754,                 1.5505,                 1.1294,                 1.8486,              0.0011209,              0.0011209,              0.0011209
                     46,                 1.4937,                  1.513,                 1.7622,                0.85635,                0.70188,                0.82834,                0.47609,                 1.4783,                 1.0533,                 1.7795,              0.0011009,              0.0011009,              0.0011009
                     47,                 1.5076,                 1.5002,                 1.7673,                0.76533,                0.75382,                0.82086,                0.46499,                 1.5018,                 1.0724,                 1.7752,              0.0010809,              0.0010809,              0.0010809
                     48,                  1.475,                 1.4974,                 1.7513,                0.79574,                0.73394,                0.81641,                0.47161,                 1.4857,                 1.0527,                 1.7887,              0.0010609,              0.0010609,              0.0010609
                     49,                 1.4775,                  1.487,                 1.7518,                0.75113,                  0.763,                0.82171,                 0.4745,                 1.4727,                  1.069,                 1.7626,               0.001041,               0.001041,               0.001041
                     50,                 1.4967,                  1.493,                 1.7698,                0.77821,                0.75649,                0.81516,                0.46892,                 1.5064,                 1.0614,                 1.7988,               0.001021,               0.001021,               0.001021
                     51,                 1.4653,                 1.4653,                 1.7464,                0.81646,                0.72477,                0.82486,                0.48594,                 1.4545,                 1.0446,                 1.7535,               0.001001,               0.001001,               0.001001
                     52,                 1.4747,                 1.4622,                 1.7517,                0.81227,                0.72113,                0.83221,                 0.4779,                 1.4367,                  1.043,                 1.7219,             0.00098102,             0.00098102,             0.00098102
                     53,                 1.4674,                  1.453,                 1.7548,                0.80866,                0.73547,                0.82612,                0.47444,                 1.4724,                 1.0213,                 1.7895,             0.00096104,             0.00096104,             0.00096104
                     54,                 1.4606,                 1.4302,                 1.7357,                0.81046,                0.70613,                0.81202,                0.46107,                 1.4911,                 1.0784,                 1.7689,             0.00094106,             0.00094106,             0.00094106
                     55,                 1.4615,                 1.4262,                 1.7319,                0.81015,                0.74386,                0.83146,                0.47832,                 1.4504,                  1.004,                 1.7652,             0.00092108,             0.00092108,             0.00092108
                     56,                 1.4644,                  1.428,                 1.7394,                0.81473,                0.77998,                0.85002,                0.50403,                 1.4326,                0.96497,                 1.7334,              0.0009011,              0.0009011,              0.0009011
                     57,                 1.4451,                 1.4248,                 1.7239,                0.78403,                0.74465,                 0.8147,                0.47403,                 1.4684,                 1.0571,                 1.7686,             0.00088112,             0.00088112,             0.00088112
                     58,                 1.4563,                 1.3981,                 1.7313,                0.79794,                0.79099,                0.85205,                0.49915,                 1.4478,                0.99464,                 1.7502,             0.00086114,             0.00086114,             0.00086114
                     59,                 1.4437,                 1.4183,                 1.7273,                0.79264,                0.77523,                 0.8378,                0.48776,                 1.4407,                0.95896,                  1.744,             0.00084116,             0.00084116,             0.00084116
                     60,                 1.4467,                 1.4174,                 1.7271,                0.78741,                0.74312,                 0.8331,                0.48211,                 1.4252,                 1.0208,                 1.7361,             0.00082118,             0.00082118,             0.00082118
                     61,                  1.429,                  1.388,                 1.7097,                0.77115,                0.74465,                0.81758,                0.47909,                 1.4343,                 1.0374,                 1.7399,              0.0008012,              0.0008012,              0.0008012
                     62,                 1.4532,                 1.3899,                 1.7313,                0.83454,                  0.763,                0.84816,                0.50271,                 1.4327,                0.93519,                 1.7278,             0.00078122,             0.00078122,             0.00078122
                     63,                 1.4388,                 1.3782,                 1.7114,                 0.8011,                0.81295,                 0.8653,                0.50121,                 1.3943,                0.91805,                 1.7064,             0.00076124,             0.00076124,             0.00076124
                     64,                  1.424,                 1.3638,                 1.7041,                0.81447,                0.77676,                 0.8528,                0.50567,                 1.3892,                 0.9573,                 1.7036,             0.00074126,             0.00074126,             0.00074126
                     65,                  1.425,                 1.3674,                 1.7076,                0.82037,                0.78287,                0.86328,                0.51462,                  1.418,                0.92966,                 1.7127,             0.00072128,             0.00072128,             0.00072128
                     66,                 1.4138,                 1.3705,                 1.6976,                0.82254,                0.77958,                0.85239,                0.50396,                 1.4109,                0.95985,                 1.7225,              0.0007013,              0.0007013,              0.0007013
                     67,                  1.414,                  1.359,                 1.6988,                0.81437,                0.82263,                0.87135,                 0.5149,                 1.4126,                0.89832,                 1.7114,             0.00068132,             0.00068132,             0.00068132
                     68,                 1.4036,                 1.3419,                 1.6898,                0.84085,                0.77556,                0.85724,                0.52083,                 1.3891,                0.89075,                 1.7116,             0.00066134,             0.00066134,             0.00066134
                     69,                 1.4058,                 1.3282,                 1.6925,                0.83748,                0.78005,                0.86605,                0.51825,                 1.3849,                0.91154,                 1.6874,             0.00064136,             0.00064136,             0.00064136
                     70,                 1.3959,                 1.3226,                 1.6854,                0.82655,                0.77064,                0.85269,                0.49988,                 1.4045,                0.93781,                 1.7108,             0.00062138,             0.00062138,             0.00062138
                     71,                 1.3981,                 1.3311,                 1.6806,                0.82536,                0.78046,                0.85735,                0.51378,                 1.3994,                0.93014,                 1.6909,              0.0006014,              0.0006014,              0.0006014
                     72,                 1.3807,                  1.299,                 1.6605,                0.84359,                0.77982,                0.86398,                 0.5134,                 1.3802,                0.91185,                  1.691,             0.00058142,             0.00058142,             0.00058142
                     73,                 1.3926,                 1.2914,                 1.6787,                0.85258,                 0.7959,                0.87489,                0.52963,                 1.3892,                0.89207,                 1.6956,             0.00056144,             0.00056144,             0.00056144
                     74,                 1.3708,                 1.2825,                 1.6621,                0.82691,                0.80275,                0.87819,                0.52059,                 1.3988,                 0.8753,                 1.6938,             0.00054146,             0.00054146,             0.00054146
                     75,                 1.3803,                 1.2737,                 1.6605,                0.79977,                0.84557,                0.87935,                0.52047,                 1.3967,                 0.8699,                 1.6972,             0.00052148,             0.00052148,             0.00052148
                     76,                 1.4098,                 1.2967,                 1.6863,                0.82562,                0.80275,                0.88064,                0.53343,                 1.3744,                0.85957,                 1.6835,              0.0005015,              0.0005015,              0.0005015
                     77,                 1.3901,                 1.2942,                 1.6721,                0.81733,                0.84148,                0.88962,                 0.5307,                  1.378,                0.87023,                 1.7009,             0.00048152,             0.00048152,             0.00048152
                     78,                 1.3631,                 1.2572,                 1.6456,                0.85607,                0.79052,                0.88241,                0.53727,                  1.363,                0.86707,                 1.6799,             0.00046154,             0.00046154,             0.00046154
                     79,                 1.3564,                 1.2597,                 1.6507,                0.84642,                0.80056,                0.87528,                0.52319,                 1.3714,                0.85367,                 1.6806,             0.00044156,             0.00044156,             0.00044156
                     80,                 1.3611,                 1.2552,                 1.6588,                0.84214,                0.79358,                 0.8726,                0.53188,                 1.3723,                0.85527,                 1.7014,             0.00042158,             0.00042158,             0.00042158
                     81,                 1.3589,                 1.2395,                 1.6619,                0.84418,                0.81193,                0.88634,                0.53977,                 1.3501,                0.84117,                 1.6717,              0.0004016,              0.0004016,              0.0004016
                     82,                 1.3619,                 1.2424,                  1.655,                0.84537,                0.80275,                0.87611,                0.53003,                 1.3788,                0.83522,                 1.6855,             0.00038162,             0.00038162,             0.00038162
                     83,                 1.3397,                 1.2229,                 1.6335,                0.85464,                 0.7911,                0.86829,                0.52332,                  1.382,                0.86412,                 1.6987,             0.00036164,             0.00036164,             0.00036164
